id,SalePrice
1461,117930.92
1462,163619.27
1463,188129.58
1464,197338.23
1465,201017.53
1466,167155.0
1467,190618.64
1468,158008.58
1469,218722.61
1470,130528.2
1471,223151.25
1472,97856.44
1473,95914.7
1474,154346.48
1475,134920.11
1476,334679.88
1477,227153.02
1478,290255.12
1479,285044.0
1480,447959.56
1481,309568.72
1482,195610.83
1483,174710.84
1484,179183.36
1485,170125.02
1486,187640.67
1487,311505.38
1488,234050.2
1489,204799.77
1490,239842.42
1491,186481.14
1492,71484.82
1493,221804.42
1494,259756.67
1495,292851.75
1496,270295.56
1497,180857.05
1498,155986.78
1499,149282.86
1500,150764.92
1501,170539.56
1502,164983.45
1503,260290.88
1504,236975.6
1505,226060.53
1506,188966.44
1507,276394.5
1508,228295.89
1509,165477.05
1510,139323.9
1511,131839.95
1512,154901.8
1513,136917.27
1514,182661.77
1515,183272.9
1516,133686.27
1517,183279.38
1518,131871.88
1519,223794.9
1520,135753.4
1521,112771.72
1522,178683.52
1523,104111.55
1524,117565.836
1525,114826.53
1526,110194.66
1527,124668.03
1528,121230.0
1529,129443.266
1530,214563.38
1531,132752.36
1532,98709.84
1533,188197.73
1534,114257.5
1535,126556.664
1536,106341.97
1537,70087.5
1538,163551.22
1539,167109.7
1540,119494.38
1541,134134.95
1542,108319.016
1543,191650.39
1544,103277.9
1545,114081.5
1546,156250.23
1547,128393.25
1548,118914.414
1549,114118.67
1550,141664.1
1551,108718.375
1552,197510.11
1553,146069.33
1554,153092.36
1555,147178.86
1556,72801.05
1557,78334.26
1558,101419.66
1559,72085.54
1560,137468.02
1561,120089.96
1562,110610.875
1563,121169.734
1564,166030.86
1565,163693.98
1566,253117.67
1567,78858.01
1568,246917.05
1569,171332.38
1570,134526.45
1571,98195.17
1572,126601.5
1573,253909.8
1574,108984.52
1575,228654.08
1576,239949.08
1577,183821.23
1578,138471.98
1579,156806.02
1580,178732.45
1581,158729.11
1582,132477.52
1583,326767.9
1584,211811.2
1585,137261.36
1586,84039.39
1587,106894.64
1588,158638.89
1589,93719.39
1590,111858.97
1591,91478.4
1592,88661.47
1593,129166.3
1594,115663.25
1595,95471.664
1596,208750.39
1597,187575.19
1598,185625.8
1599,206503.1
1600,175326.42
1601,104963.11
1602,103373.266
1603,125425.16
1604,281567.47
1605,242411.3
1606,173871.33
1607,187648.66
1608,206907.45
1609,178220.73
1610,148395.69
1611,124698.92
1612,192715.61
1613,164518.33
1614,130988.625
1615,93157.94
1616,86990.79
1617,103900.26
1618,107947.41
1619,158609.56
1620,227689.83
1621,134977.17
1622,159914.0
1623,346428.88
1624,231065.17
1625,117837.77
1626,154833.44
1627,175048.98
1628,281566.16
1629,174047.98
1630,361124.28
1631,189245.95
1632,226895.12
1633,164926.42
1634,185826.92
1635,182508.86
1636,199930.97
1637,189997.33
1638,209668.83
1639,164878.62
1640,244323.08
1641,147326.52
1642,236932.03
1643,218526.72
1644,201031.36
1645,249436.08
1646,123606.36
1647,127353.31
1648,123462.22
1649,131054.07
1650,135736.23
1651,117210.51
1652,99331.53
1653,95969.35
1654,132184.23
1655,133635.83
1656,150240.67
1657,143584.73
1658,141945.11
1659,128888.266
1660,136585.05
1661,414711.7
1662,373299.53
1663,383251.47
1664,502298.56
1665,298492.9
1666,337293.75
1667,375424.38
1668,343066.7
1669,312322.75
1670,332954.66
1671,261361.61
1672,398002.44
1673,283891.75
1674,249063.22
1675,196401.06
1676,206687.7
1677,201383.23
1678,502074.94
1679,416291.84
1680,305021.94
1681,242372.92
1682,312160.53
1683,184073.48
1684,175665.86
1685,175401.62
1686,172313.11
1687,162499.47
1688,185908.83
1689,187884.83
1690,197041.66
1691,180989.69
1692,247386.11
1693,153951.08
1694,185522.77
1695,155505.83
1696,268587.2
1697,158468.81
1698,334610.62
1699,309827.06
1700,236683.72
1701,259849.64
1702,240405.19
1703,239172.77
1704,295373.7
1705,216759.77
1706,348612.94
1707,212450.19
1708,212125.02
1709,254530.14
1710,205190.58
1711,249907.34
1712,261053.38
1713,287053.03
1714,223711.86
1715,210612.62
1716,178777.2
1717,168612.23
1718,129623.91
1719,185681.58
1720,216223.61
1721,167063.73
1722,114692.586
1723,153144.44
1724,197119.11
1725,234900.45
1726,166153.36
1727,168417.27
1728,146023.92
1729,153309.62
1730,150584.6
1731,111841.35
1732,128876.2
1733,110597.84
1734,106903.95
1735,104041.29
1736,111976.44
1737,332837.28
1738,243715.69
1739,267041.12
1740,235525.28
1741,189076.62
1742,173869.81
1743,181962.4
1744,333097.7
1745,198780.02
1746,171161.53
1747,190092.84
1748,238325.8
1749,142870.16
1750,112416.89
1751,273042.3
1752,121821.81
1753,140332.67
1754,188395.19
1755,182372.11
1756,138581.98
1757,136766.86
1758,157772.69
1759,142071.86
1760,181576.83
1761,132551.17
1762,186609.97
1763,169353.7
1764,142053.86
1765,141803.08
1766,181236.7
1767,227660.03
1768,133872.55
1769,171210.28
1770,155810.81
1771,111127.03
1772,123972.484
1773,148907.33
1774,170547.9
1775,142112.17
1776,106242.92
1777,128004.0
1778,153365.6
1779,123672.45
1780,146014.02
1781,122023.62
1782,93987.17
1783,131196.23
1784,135430.31
1785,131309.4
1786,263344.62
1787,168409.81
1788,74315.92
1789,112540.44
1790,86971.08
1791,193708.4
1792,154521.55
1793,145310.52
1794,141919.47
1795,105634.43
1796,100915.48
1797,147129.28
1798,123566.875
1799,130275.42
1800,120480.69
1801,132338.05
1802,113157.19
1803,151506.83
1804,134231.52
1805,123677.555
1806,137332.45
1807,132166.23
1808,132916.17
1809,106225.39
1810,134988.9
1811,86823.11
1812,90132.03
1813,129901.58
1814,110094.0
1815,88568.85
1816,103145.33
1817,111396.14
1818,205971.95
1819,149852.3
1820,92365.61
1821,117538.375
1822,165240.66
1823,76373.2
1824,138033.67
1825,127933.86
1826,98285.11
1827,93616.336
1828,115256.53
1829,149406.8
1830,157721.02
1831,134195.67
1832,90338.28
1833,156025.52
1834,123621.75
1835,132354.61
1836,112369.36
1837,111667.83
1838,112170.984
1839,125845.48
1840,186854.33
